Arrondissement;nb_ventes_2020;prix_median_2020;prix_m2_median_2020;nb_ventes_2021;prix_median_2021;prix_m2_median_2021;nb_ventes_2022;prix_median_2022;prix_m2_median_2022;nb_ventes_2023;prix_median_2023;prix_m2_median_2023;nb_ventes_2024;prix_median_2024;prix_m2_median_2024;nb_ventes_2025;prix_median_2025;prix_m2_median_2025;evolution_prix_2020_2024_pct;evolution_prix_m2_2020_2024_pct;nb_appartements_2024;nb_maisons_2024;pct_appartements;nb_pieces_moyen;estimation_logement_social_pct;nb_stations_metro;trafic_total_metro;nb_lignes_metro;nb_lignes_rer;lignes_metro;lignes_rer;no2_moyen;pm10_moyen;o3_moyen;qualite_air_dominante;population_2018;nb_menages_2018;nb_logements_2018;prix_m2_stats_2020
1;386;1139060;13511;896;1035000;13514;1090;1060886;13714;877;760000;13341;882;560000;12586;307;565000;12491;-50.8;-6.8;409;0;100.0;2.6;Faible (<10%);8;57295153;6;2;1, 4, 7, 14, 11.0, 14.0;A, B;34.6;31.4;37.0;Moyenne;2175601;1140772;1386846;12404
2;526;420000;12647;1141;505000;12077;1228;607000;12115;1027;575240;11969;1125;659228;11444;428;680000;11666;57.0;-9.5;511;0;100.0;2.1;Faible (<10%);4;10127675;4;0;3, 4, 8, 9;nan;35.2;32.0;37.4;Moyenne;2175601;1140772;1386846;11403
3;596;494450;12948;1610;650000;12849;1805;600000;12869;1647;588000;12526;1528;620000;12000;606;514625;12115;25.4;-7.3;816;0;100.0;2.2;Faible (<10%);6;12577486;4;0;3, 4, 8, 11;nan;35.1;31.8;37.4;Moyenne;2175601;1140772;1386846;11694
4;570;650000;13944;1192;672073;13566;1865;865000;13420;1275;577884;13506;1189;600910;12932;579;636760;12994;-7.6;-7.3;656;0;100.0;2.5;Faible (<10%);6;15966790;4;0;1, 4, 7, 11;nan;35.3;31.8;37.5;Moyenne;2175601;1140772;1386846;12150
5;664;520000;12933;1769;539000;13000;2335;549884;13166;2203;625000;12716;1914;520000;12000;770;545000;11773;0.0;-7.2;1024;1;99.9;2.3;Faible (<10%);7;16253720;3;1;4, 7, 10;B;34.5;31.6;37.5;Moyenne;2175601;1140772;1386846;11965
6;830;855250;15425;2129;1060000;15843;2673;1050500;15485;2295;800000;15486;1955;775000;14981;733;719000;14957;-9.4;-2.9;1006;2;99.8;2.7;Faible (<10%);9;17494023;4;0;4, 7, 10, 12;nan;34.1;31.4;37.4;Moyenne;2175601;1140772;1386846;13930
7;951;1023895;14950;2651;1150000;15119;3775;1200000;15517;2820;1015000;15235;2629;1052200;14620;1246;1095000;15162;2.8;-2.2;1169;5;99.6;3.0;Faible (<10%);11;19713267;4;0;8, 10, 12, 13;nan;34.9;31.6;37.3;Moyenne;2175601;1140772;1386846;13968
8;1134;633550;13208;2721;852000;13222;3403;1095000;13137;2397;880000;13272;2797;770000;12500;1022;849000;12318;21.5;-5.4;961;1;99.9;3.0;Faible (<10%);15;72710440;12;0;1, 2, 3, 6, 8, 9, 12, 13, 14, 13.0, 14.0, 3bis;nan;36.0;32.0;37.4;Moyenne;2175601;1140772;1386846;11731
9;1122;560000;12504;3651;716150;12000;3762;664000;11981;2582;540000;11459;2718;570000;10712;1341;466826;10799;1.8;-14.3;1382;1;99.9;2.4;Faible (<10%);14;45890724;7;1;2, 3, 6, 7, 8, 9, 12;A;35.2;31.6;37.6;Moyenne;2175601;1140772;1386846;11069
10;1489;428000;11101;3874;424750;10933;5868;710000;10714;3667;410000;10119;3428;448472;9373;1397;387917;9485;4.8;-15.6;1799;0;100.0;2.3;Faible (<10%);11;104734863;8;1;2, 4, 5, 7, 8, 9, 11, 7bis;B;36.1;32.3;38.1;Moyenne;2175601;1140772;1386846;9957
11;2094;399000;11304;6719;517000;11669;7324;470000;11142;5487;405650;10454;5827;400000;10000;1833;390000;10000;0.3;-11.5;2910;1;100.0;2.2;Faible (<10%);16;42107896;8;0;2, 3, 5, 8, 9, 11, 9.0, 11.0;nan;36.1;32.1;38.0;Moyenne;2175601;1140772;1386846;10525
12;2833;511800;10500;3996;429000;10428;5074;450500;10218;4093;404000;9625;3771;368175;9000;1405;375000;8976;-28.1;-14.3;1705;4;99.8;2.3;Faible (<10%);21;112775167;8;1;1, 2, 5, 6, 8, 9, 14, 9.0;A;36.3;32.0;38.5;Moyenne;2175601;1140772;1386846;9706
13;1149;380000;10082;3794;438882;10000;4330;420300;10000;3612;386500;9214;3562;400000;8848;1189;350000;8741;5.3;-12.2;1689;18;98.9;2.2;Moyen (10-20%);18;54466958;5;0;5, 6, 7, 10, 14;nan;34.9;31.9;38.3;Moyenne;2175601;1140772;1386846;9508
14;1400;500000;11252;3855;474000;10888;4495;490000;10728;4023;426240;10178;3471;371600;9464;1553;392500;9521;-25.7;-15.9;1634;22;98.7;2.3;Faible (<10%);14;54157381;5;1;4, 6, 12, 13, 13.0;B;33.5;31.4;38.1;Moyenne;2175601;1140772;1386846;10172
15;3355;584000;11000;9895;597441;10894;12983;715350;10892;7543;465000;10105;7311;442250;9642;2695;425000;9600;-24.3;-12.3;3373;12;99.6;2.4;Faible (<10%);19;42680563;4;0;6, 8, 10, 12;nan;33.1;31.2;37.9;Moyenne;2175601;1140772;1386846;10401
16;3322;846000;12127;8511;940436;11931;10018;888960;12157;7698;788000;11651;6818;692000;11122;2754;810000;11301;-18.2;-8.3;2711;22;99.2;3.0;Faible (<10%);20;38588088;5;0;1, 2, 6, 9, 10;nan;36.3;32.2;37.7;Moyenne;2175601;1140772;1386846;10754
17;2491;505000;11605;7023;582500;11538;8376;575000;11552;6304;485000;10928;5774;458700;10236;2643;485000;10377;-9.2;-11.8;2671;4;99.9;2.5;Faible (<10%);17;46567814;5;1;1, 2, 3, 13, 14;A;37.2;32.4;38.1;Moyenne;2175601;1140772;1386846;10909
18;2692;403600;10581;7850;450000;10488;8423;395050;10219;7360;400000;9672;5707;328000;8858;3295;435600;9000;-18.7;-16.3;2986;11;99.6;2.1;Moyen (10-20%);13;41870261;3;0;2, 4, 12;nan;36.7;32.2;38.7;Moyenne;2175601;1140772;1386846;9935
19;1546;436500;9413;5435;543700;9619;5618;455775;9528;4944;450000;8896;3739;370000;7986;1553;355800;8221;-15.2;-15.2;1560;22;98.6;2.2;Moyen (10-20%);15;32408205;5;0;2, 5, 7, 11, 7bis;nan;37.4;32.4;38.7;Moyenne;2175601;1140772;1386846;8956
20;1645;400000;9722;5445;489450;9730;5446;400000;9529;4246;360385;8857;4185;339500;8372;2032;380500;8450;-15.1;-13.9;2114;14;99.3;2.1;Moyen (10-20%);11;26999499;5;0;2, 3, 9, 11, 3bis;nan;36.1;31.8;38.3;Moyenne;2175601;1140772;1386846;9106
