annee;arrondissement_nom;ninsee;no2_mean;no2_median;no2_min;no2_max;pm10_mean;pm10_median;pm10_min;pm10_max;o3_mean;o3_median;o3_min;o3_max;indice_global_pollution;categorie_indice_global;rang_pollution_annee
2018.0;Paris 10e;75110;35.333333333333336;34.0;23;45;27.666666666666668;25.5;12;53;35.083333333333336;35.0;25;47;32.983333333333334;Moyenne;5
2018.0;Paris 11e;75111;34.666666666666664;35.0;21;44;27.25;25.5;12;50;35.166666666666664;35.5;23;48;32.541666666666664;Moyenne;10
2018.0;Paris 12e;75112;35.166666666666664;36.5;20;48;27.166666666666668;24.5;14;49;35.75;36.5;22;49;32.88333333333333;Moyenne;7
2018.0;Paris 13e;75113;32.916666666666664;33.0;20;46;27.166666666666668;23.5;15;49;35.25;35.0;23;48;31.658333333333335;Moyenne;15
2018.0;Paris 14e;75114;31.416666666666668;31.0;20;44;26.666666666666668;23.5;15;49;35.166666666666664;34.5;24;47;30.741666666666667;Moyenne;20
2018.0;Paris 15e;75115;31.916666666666668;34.0;20;43;26.75;24.5;15;52;35.0;34.5;25;45;30.983333333333334;Moyenne;19
2018.0;Paris 16e;75116;35.25;35.5;25;45;27.75;24.5;15;57;34.75;34.5;26;44;32.9;Moyenne;6
2018.0;Paris 17e;75117;36.083333333333336;36.0;25;47;28.416666666666668;25.5;14;57;34.833333333333336;34.0;27;44;33.53333333333334;Moyenne;3
2018.0;Paris 18e;75118;36.0;35.0;23;48;28.333333333333332;25.5;14;55;35.666666666666664;35.0;28;46;33.63333333333333;Moyenne;2
2018.0;Paris 19e;75119;36.5;36.5;22;50;28.083333333333332;25.5;12;54;35.666666666666664;35.5;25;48;33.80833333333333;Moyenne;1
2018.0;Paris 1er;75101;35.875;35.5;22;50;27.625;25.0;14;56;35.166666666666664;34.5;23;48;33.25833333333333;Moyenne;4
2018.0;Paris 20e;75120;34.916666666666664;36.0;21;45;27.166666666666668;25.5;12;50;35.333333333333336;35.5;23;48;32.675000000000004;Moyenne;8
2018.0;Paris 2e;75102;31.875;32.0;20;45;26.666666666666668;24.5;13;52;38.041666666666664;38.5;24;50;31.545833333333334;Moyenne;16
2018.0;Paris 3e;75103;32.208333333333336;32.5;20;44;27.041666666666668;24.0;12;57;37.291666666666664;37.5;22;48;31.675;Moyenne;14
2018.0;Paris 4e;75104;33.833333333333336;34.0;22;44;27.0;23.5;14;50;34.666666666666664;35.0;22;48;31.95;Moyenne;12
2018.0;Paris 5e;75105;32.583333333333336;32.5;21;43;26.75;23.5;14;49;34.5;34.5;22;47;31.21666666666667;Moyenne;17
2018.0;Paris 6e;75106;32.333333333333336;32.5;21;43;26.666666666666668;23.5;14;50;34.5;34.0;23;47;31.06666666666667;Moyenne;18
2018.0;Paris 7e;75107;33.5;34.5;22;43;27.166666666666668;24.5;15;53;34.416666666666664;33.5;24;46;31.78333333333333;Moyenne;13
2018.0;Paris 8e;75108;34.916666666666664;35.5;24;43;27.833333333333332;25.5;14;54;34.25;33.5;25;45;32.65833333333333;Moyenne;9
2018.0;Paris 9e;75109;34.416666666666664;33.5;23;44;27.5;24.5;14;53;34.416666666666664;34.0;25;45;32.34166666666667;Moyenne;11
