code_commune;no2;o3;pm10;qual_no2;qual_o3;qual_pm10;air_quality_global
75120;17;26;9;Bon;Bon;Bon;Bon
75110;17;26;9;Bon;Bon;Bon;Bon
75101;16;25;7;Bon;Bon;Bon;Bon
75102;17;26;9;Bon;Bon;Bon;Bon
75103;17;25;9;Bon;Bon;Bon;Bon
75104;17;25;9;Bon;Bon;Bon;Bon
75105;16;26;9;Bon;Bon;Bon;Bon
75107;16;26;7;Bon;Bon;Bon;Bon
75108;16;26;9;Bon;Bon;Bon;Bon
75109;16;26;7;Bon;Bon;Bon;Bon
75106;16;26;7;Bon;Bon;Bon;Bon
75111;17;26;9;Bon;Bon;Bon;Bon
75116;16;28;9;Bon;Bon;Bon;Bon
75112;16;27;9;Bon;Bon;Bon;Bon
75118;16;28;9;Bon;Bon;Bon;Bon
75117;16;27;9;Bon;Bon;Bon;Bon
75119;17;27;9;Bon;Bon;Bon;Bon
75115;14;28;7;Bon;Bon;Bon;Bon
75114;14;27;7;Bon;Bon;Bon;Bon
75113;15;27;9;Bon;Bon;Bon;Bon
